Differential gene expression in whole lung bulk RNA-seq data of three replicates of young (3 months) and old mice (22 months),ID,baseMean,gene name,log2FoldChange [old/young],lfcSE,stat,pvalue,padj,Old_1,Old_2,Old_3,young_1,young_2,young_3
,ENSMUSG00000076613,2146.220509,Ighg2b,3.606422991,1.133426679,3.181875861,NA,NA,5321.889889,3312.692172,3265.580916,823.2225551,117.088313,36.84920967
,ENSMUSG00000095285,16.98681633,Ighv5-9,3.590975876,0.950357594,3.778552302,0.000157743,0.000749878,47.76820545,39.66046078,6.688718307,4.048635517,1.377509565,2.377368366
,ENSMUSG00000076666,96.48359151,Ighv14-4,3.590872723,0.533400976,6.732032533,1.67E-11,4.68E-10,60.56326048,233.7879794,240.0506681,21.59272276,11.02007652,11.88684183
,ENSMUSG00000087027,5.464510789,Gm13206,3.582770943,1.428100285,2.508767052,0.012115335,0.031907062,13.6480587,4.870582903,11.89105477,0,0,2.377368366
,ENSMUSG00000095497,25.00859806,Igkv1-122,3.576501939,0.903446467,3.958731448,7.53E-05,0.000391822,11.94205136,106.4570263,20.06615492,2.699090345,4.132528694,4.754736732
,ENSMUSG00000095338,1.415291798,Igkv3-9,3.56932138,2.627685006,1.358352075,0.174351994,NA,0,6.262178018,2.229572769,0,0,0
,ENSMUSG00000095859,37.58814729,Ighv1-43,3.569117811,2.677300626,1.333103117,NA,NA,198.7498548,6.262178018,2.972763692,17.54408724,0,0
,ENSMUSG00000020704,10.9285068,Asic2,3.550130422,0.987549421,3.59488887,0.00032453,0.001397765,17.91307704,29.91929498,12.63424569,1.349545172,1.377509565,2.377368366
,ENSMUSG00000086645,1.401625277,Gm15743,3.547536552,2.218535419,1.599044362,0.109810746,NA,2.559011006,1.391595115,4.459145538,0,0,0
,ENSMUSG00000055895,1.395471763,Oosp2,3.533582991,2.759508233,1.28051185,0.20036518,NA,7.677033019,0.695797558,0,0,0,0
,ENSMUSG00000076536,37.36339131,Igkv4-86,3.523979242,0.799579996,4.407287899,1.05E-05,6.94E-05,37.53216142,150.98807,17.83658215,6.747725861,2.75501913,8.32078928
,ENSMUSG00000097148,5.362820198,Gm3839,3.519342911,1.338792974,2.628743188,0.008570105,0.023717354,10.23604402,9.741165806,9.661481999,1.349545172,0,1.188684183
,ENSMUSG00000047215,8833.136097,Rpl9,3.518552804,1.29389257,2.719354671,NA,NA,1851.017961,1955.886934,44938.52554,1089.082954,1318.276653,1846.026536
,ENSMUSG00000094815,1.367525364,Gm22615,3.515689033,2.21223189,1.589204572,0.112014215,NA,1.706007337,2.78319023,3.715954615,0,0,0
,ENSMUSG00000076934,1325.371058,Iglv1,3.507662322,0.730271659,4.803229424,1.56E-06,1.30E-05,771.1153165,4377.262435,2161.199204,291.5017572,133.6184278,217.5292055
,ENSMUSG00000096632,125.4982576,Igkv9-124,3.504273787,0.947802985,3.697259707,0.000217939,0.00099341,428.2078417,56.35960217,207.3502675,37.78726482,13.77509565,9.509473463
,ENSMUSG00000089809,2.840509294,Rasgef1b,3.501970439,1.739129633,2.013633931,0.044047981,0.093776686,5.971025681,7.653773134,2.229572769,0,0,1.188684183
,ENSMUSG00000010529,1.351727575,Gm266,3.500478704,2.231132205,1.568924825,0.116665457,NA,1.706007337,4.174785346,2.229572769,0,0,0
,ENSMUSG00000091491,2.808540649,Vmn2r97,3.478292006,1.726344166,2.014831153,0.043922344,0.093569072,7.677033019,2.78319023,5.202336461,0,0,1.188684183
,ENSMUSG00000095130,122.1017002,Ighv1-39,3.46917851,0.48384408,7.170034011,7.50E-13,2.83E-11,214.1039208,321.4584716,136.0039389,39.13681,12.39758608,9.509473463
,ENSMUSG00000094930,123.054343,Igkv6-25,3.457300094,0.450146606,7.680386896,1.59E-14,8.40E-13,186.8078035,176.0367821,313.6265695,39.13681,9.642566953,13.07552601
,ENSMUSG00000078308,1.316868707,Gm47854,3.454216893,2.678370013,1.289671284,0.197164814,NA,5.118022012,2.78319023,0,0,0,0
,ENSMUSG00000067614,5.29627902,Krt86,3.453363155,1.408936854,2.451041823,0.01424434,0.036565251,9.383040356,6.262178018,13.37743661,0,2.75501913,0
,ENSMUSG00000038812,226.9693102,Trmt112,3.435408395,1.240692515,2.768944242,NA,NA,58.85725314,75.14613622,1112.556812,41.83590034,41.32528694,32.09447294
